bhakta	b ɑː k ʈ ə
indrarajan	ɪ n ɖ ɹ ɑː ɹ ɑː dʒ ə n
sahajabala	s ɑ h ə dʒ ə b ɑː l ə
bhog	b h ɒ ɡ
mayana	m eː ɑː n ə
anavadya	a n ə ʋ ɑː ɖ ə
theavaki	t̪ iː ə ʋ ɑː c i
yaranthan	j ɑː a n t̪ ə n
tista	ʈ ɪ s ʈ ə
jeev	dʒ iː ʋ
shvetank	ʃ ʋ ɪ ʈ a ŋ k
amelie	ə mʲ iː ʎ i
kowsigan	k oː aw z ɪ ɡ ə n
danwati	ɖ a n ʋ ɑː ʈʲ i
dhankshini	d̪ ɑː n c ʃ iː ɲ i
kataleyah	k a ʈ ə ʎ i ə
bhagyeshvar	b a ɟ ʃ ʋ ɑː
nivaanan	ɲ ɪ ʋ ə ə n ɑː n
amais	ə m eː z
astresh	ə s ʈ ɹ ɛ ʃ
jhamir	dʒ h a mʲ ɪ ə
kamalakanna	k ɑː m ə l ə k a n ə
nagoor	n ɑː ɡ ə
ratheeshna	ɹ ɑː d̪ iː ʃ n ə
nityasukhada	n aj ʈ aj a s ʉ k ɑː ɖ ə
triputa	ʈ ɹ ɪ p ʉː ʈ ə
ziyah	z ɪ j ə
azhaellil	a z h ɑː ɛ ʎ ɪ l
sipriyan	s ɪ p ɹ iː ə n
vishnukoban	ʋ ɪ ʃ n ʉ k ɒ b ə n
khiladi	c iː l eː ɖ i
vasumatibhartre	ʋ a s ʉː m ə ʈʲ ɪ b h ɑː ʈ ə
mandalagataye	m ə n ɖ ə l ə ɡ ɑː ʈ ə i
mojit	m oː dʒ ɪ ʈ
hridayanand	h ɹ aj ɖ eː ɑː n ə n ɖ
gurdayal	ɡ ɜː ɖ eː ə l
ramavarman	ɹ a m ə ʋ ɑː m ə n
asinth	ə s ɪ n t̪
krija	c ɹ ɪ dʒ ə
prajnan	p ɹ ɑː dʒ n ə n
mandhara	m a n ɖ ɑː ɹ ə
neethika	ɲ iː t̪ ɪ k ə
jhalak	dʒ ə l a k
arok	ə ɹ oː k
shrisavitr	ʃ ɹ aj s eː ʋ ɪ ʈ ɹ
dasharathi	ɖ a ʃ ɛː ɹ ə t̪ i
thilosanth	t̪ ɪ l oː s ə n t̪
lakhith	l ɑː k t̪
aleric	ə l ɛ ɹ ɪ k
aafiyah	eː eː fʲ ɪ j ə
raheem	ɹ ə ç iː ə m
adhava	ə d̪ ɑː ʋ ə
litthesh	ʎ ɪ t̪ ʃ
chhandas	tʃ h a n ɖ ə s
naishadh	n ɑː iː ʃ ɑː ɖ
shirisha	ʃ aj ɹ ɪ ʃ ə
ismael	ɪ s m eː l
daraly	ɖ ɑː ɹ ə ʎ i
eashita	iː ʃ iː ʈ ə
ramarama	ɹ a m ə ɹ ɑː m ə
putta	p ʊ ʈ ə
prudhvi	p ɹ ʉː ɖ ʋ i
yuveneshwaran	j ʉː ʋ ə n ɛ ʃ ʋ ɒː ə n
zuhair	z ʉː h ɛː
hastipur	ç eː s ʈʲ ɪ p ʊ
miquel	mʲ ɪ kʷ ə l
brumath	b ɹ ʉː m t̪
inina	ɪ n iː n ə
ninthusan	n aj n t̪ ə s ə n
ranvitha	ɹ a n ʋ ɪ t̪ ə
sugantha	ʃ ʉː ɡ ɒː n t̪ ə
suvisharada	s ʉː ʋ ɪ ʃ ə ɹ ɑː ɖ ə
bolton	b oː l ʈ ə n
kalalapa	k ə l a l ə p ə
avarada	a ʋ ə ɹ ɑː ɖ ə
maheema	m ə h ɛ m ə
aana	ɑː n ə
gunapuj	ɡ ə n ə p ə dʒ
raaman	ɹ a ə m ə n
megha	m eː ɡ ɑː
sarpach	s ɑː p ə tʃ
chorachary	k ɒ ɹ a k ə ɹ i
bavishni	b a ʋ ɪ ʃ ɲ i
ravasvarupa	ɹ a ʋ ə s ʋ ə ɹ ʉː p ɑː
sharukshan	ʃ ɑː ʊ c ʃ ɑː n
karthy	k ɑː t̪ i
ragitha	ɹ a dʒ ɪ t̪ ə
gaatha	ɡ a t̪ ə
reiss	ɹ aj s
labana	l a b ə n ə
alise	ə l aj z
pricilla	p ɹ aj s ɪ l ə
mahatirtha	m ə h a ʈ ɜ t̪ ə
tuviradhase	ʈ ʉː ʋ ɪ ɹ ɑː ɖ ə z
pradhista	p ɹ ɑː ɖ ç ɪ s ʈ ə
krishmica	c ɹ ɪ ʃ mʲ ɪ k ə
yesuthasan	j ɛ s ʉː t̪ eː s ə n
jambunadangada	dʒ a m b ʉː n ə ɖ eː n dʒ ɑː ɖ ə
nethusha	n ɛ d̪ ʊ ʃ ə
boomigha	b ʉː mʲ ɪ ɡ ɑː
divakaran	ɖ aj ʋ a k ɑː ə n
yoddhra	j ɒ ɖ ɹ ə
dharmista	ɖ ɑː mʲ ɪ s ʈ ə
deyaliny	ɖ iː j ɑː ʎ ɪ ɲ i
ramtek	ɹ a m ʈ ɛ k
janarthiny	dʒ a n ɑː d̪ ɪ ɲ i
mahajaya	m ɑː h ə dʒ ɑː ə
tyde	ʈ aj ɖ
padiran	p a ɖ i ə n
banshik	b a n ʃ ɪ k
bajra	b a dʒ ɹ ə
triniti	ʈ ɹ ɪ ɲ ɪ ʈʲ i
tabbwum	ʈ a b ʋ ə m
tilk	ʈ ɪ l k
naveesha	ɲ eː ʋ iː ʃ ə
titiksha	ʈ aj ʈʲ ɪ c ʃ ə
pratitha	p ɹ a ʈ iː t̪ ə
peenu	p iː ɲ ʉː
haneefa	h a ɲ iː f ə
juno	dʒ ə n oː
kadeem	k ə ɖ iː m
chinnamuthu	tʃ ɪ ɲ eː m ə ʉː
hayagriva	ç ɑː ɟ ɹ iː ʋ ə
himari	ç ɪ m ɑː ɹ i
sukharadh	s ʉː k ə ɹ eː ɖ
bayni	b eː ɲ i
snah	s n a
thulan	t̪ j ʊ l ə n
neerthigeyan	n ɛ ɜː t̪ ɪ ɡ aj ə n
acai	a s aj iː
ruchendra	ɹ ʉː ʃ n ɖ ɹ ə
kaaviyashree	k ɑː ʋ ɪ j ə ʃ ɹ iː
telana	ʈ ɛ l a n ə
dayvid	ɖ eː ʋ ɪ ɖ
aevathi	iː ʋ ə t̪ i
il	ɪ l
kobina	k oː b aj n ə
yojitha	j aw dʒ iː t̪ ə
braveen	b ɹ eː ʋ iː n
ruweyda	ɹ ʉː ʋ eː ɖ ə
shaaruthan	ʃ eː ə ɹ ʉː t̪ ə n
chalalika	k ə l eː ʎ ɪ k ə
fiora	fʲ ɒ ɹ ə
vishvadakshina	ʋ ɪ ʃ ʋ ɑː ɖ ə c ʃ iː n ə
